Order ID,Order Date,Ship Date,Customer ID,Customer Name,State,City,Region,Category,Sub Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Payment Method,Rating
ORD00001,2025-05-06,2025-05-08,CUST1111,Customer_120,Karnataka,Bengaluru,South,Electronics,Smartphone,Smartphone,7470.12,2,0.2,441.68,155.48,Cash on Delivery,3.1
ORD00002,2025-11-29,2025-12-05,CUST1081,Customer_217,Maharashtra,Mumbai,West,Office Supplies,Pen Set,Pen Set,11068.48,5,0.15,1988.32,252.36,UPI,3.0
ORD00003,2025-06-22,2025-06-23,CUST1373,Customer_236,Gujarat,Ahmedabad,West,Electronics,Headphones,Headphones,2023.65,1,0.1,498.73,200.93,Cash on Delivery,4.6
ORD00004,2025-10-10,2025-10-13,CUST1116,Customer_149,Karnataka,Bengaluru,South,Furniture,Chair,Chair,22250.84,5,0.1,4161.3,226.14,Credit Card,3.1
ORD00005,2025-05-23,2025-05-27,CUST1331,Customer_37,Delhi,New Delhi,North,Electronics,Monitor,Monitor,2942.22,3,0.1,312.14,116.74,Cash on Delivery,4.9
ORD00006,2025-03-25,2025-03-29,CUST1028,Customer_118,Tamil Nadu,Chennai,South,Office Supplies,Pen Set,Pen Set,5983.0,4,0.2,528.39,131.07,Credit Card,4.5
ORD00007,2025-02-03,2025-02-05,CUST1329,Customer_235,West Bengal,Kolkata,East,Furniture,Bookshelf,Bookshelf,22032.82,5,0.1,2352.62,174.81,Debit Card,4.8
ORD00008,2025-10-15,2025-10-20,CUST1070,Customer_261,Gujarat,Ahmedabad,West,Electronics,Headphones,Headphones,11357.0,3,0.15,2811.1,149.85,Net Banking,3.4
ORD00009,2025-03-20,2025-03-26,CUST1239,Customer_271,Karnataka,Bengaluru,South,Electronics,Laptop,Laptop,8003.96,2,0.15,1450.4,146.19,UPI,4.2
ORD00010,2025-12-16,2025-12-21,CUST1369,Customer_135,Maharashtra,Mumbai,West,Office Supplies,Notebook,Notebook,11667.82,3,0.1,986.41,158.69,Cash on Delivery,3.9
ORD00011,2025-11-17,2025-11-20,CUST1271,Customer_1,Tamil Nadu,Chennai,South,Office Supplies,Notebook,Notebook,15615.29,5,0.05,2377.6,90.39,Cash on Delivery,4.9
ORD00012,2025-02-27,2025-03-02,CUST1248,Customer_36,West Bengal,Kolkata,East,Furniture,Chair,Chair,4048.11,3,0.05,1065.31,286.74,Cash on Delivery,3.2
ORD00013,2025-10-09,2025-10-11,CUST1373,Customer_103,Tamil Nadu,Chennai,South,Electronics,Monitor,Monitor,8198.5,3,0.2,1091.14,102.95,UPI,4.1
ORD00014,2025-08-13,2025-08-18,CUST1301,Customer_113,Telangana,Hyderabad,South,Office Supplies,Printer Paper,Printer Paper,3123.28,4,0.05,262.62,55.26,Credit Card,4.1
ORD00015,2025-04-28,2025-04-29,CUST1276,Customer_68,Karnataka,Bengaluru,South,Office Supplies,Notebook,Notebook,4326.25,1,0.0,835.46,119.62,Cash on Delivery,4.0
ORD00016,2025-07-28,2025-07-30,CUST1027,Customer_51,Rajasthan,Jaipur,North,Electronics,Monitor,Monitor,665.27,1,0.15,85.12,152.78,Credit Card,4.7
ORD00017,2025-02-25,2025-02-27,CUST1038,Customer_227,Telangana,Hyderabad,South,Office Supplies,Printer Paper,Printer Paper,2226.01,2,0.15,179.95,95.87,Cash on Delivery,3.9
ORD00018,2025-02-17,2025-02-24,CUST1084,Customer_195,Karnataka,Bengaluru,South,Electronics,Laptop,Laptop,1996.59,2,0.15,311.27,266.16,Credit Card,4.8
ORD00019,2025-05-27,2025-05-31,CUST1296,Customer_278,Telangana,Hyderabad,South,Furniture,Sofa,Sofa,16884.91,5,0.15,1419.27,124.18,Credit Card,4.9
